project_name,file,size,analysis_status
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241015/M08028/AxonTracking/000019/data.raw.h5,5494966183,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241015/M08028/AxonTracking/000020/data.raw.h5,85740503,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241018/M08028/AxonTracking/000042/data.raw.h5,6264129550,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241018/M08028/AxonTracking/000043/data.raw.h5,167165545,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241022/M08028/AxonTracking/000122/data.raw.h5,15765833198,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241022/M08028/AxonTracking/000123/data.raw.h5,297436787,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241025/M08028/AxonTracking/000143/data.raw.h5,18439359082,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241025/M08028/AxonTracking/000144/data.raw.h5,445251404,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241029/M08028/AxonTracking/000165/data.raw.h5,347830517,Not Started
CDKL5_R59X_10112024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/CDKL5_R59X_10112024_PS/CDKL5_R59X_10112024_PS/241029/M08028/AxonTracking/000164/data.raw.h5,13847243270,Not Started
